Cykl_1,HMG,HL,Natezenie_prad_amax,Natezenie_prad_mean,Sklad_Cu_amin,Sklad_Cu_amax,Sklad_Cu_mean,Tiomocznik_mean,NaCl_mean,Klej_amin
1,1,0,13.64325,13.622301652892563,40.79,45.88,43.076390041493774,22.395578512396693,29.975247933884297,15.71
0,0,1,13.46025,13.364563559322033,40.88,45.41,42.68494915254237,22.316745762711864,37.14613559322034,17.74
0,1,0,13.64325,13.57627428057554,40.79,45.88,42.916978417266186,22.341618705035973,30.480827338129497,18.76
0,1,0,13.80375,13.78431514084507,42.68,45.93,44.14288732394366,22.716619718309857,37.341654929577466,18.54
1,1,0,13.80375,13.785469465648855,42.68,45.93,44.17137404580153,22.71141221374046,37.51759541984733,18.54
1,1,0,13.5785,13.541363911290322,39.67,45.72,41.49737903225807,22.398629032258064,34.66822580645161,18.55
1,1,0,13.5785,13.544433189655171,39.67,45.72,41.45,22.39538793103448,34.02754310344828,18.55
0,1,0,13.64325,13.576995078740158,42.73,45.36,43.81456692913385,22.27917322834645,27.269094488188976,15.82
0,1,0,13.5785,13.461623646209386,39.67,43.47,41.57216606498195,22.27725631768953,38.03335740072202,18.79
0,1,0,13.61975,13.514331180811809,41.68,46.25,43.88667896678968,22.27738007380074,28.41158671586716,19.0
1,1,0,13.64325,13.599575431034484,42.73,45.36,43.84275862068966,22.299698275862067,29.24969827586207,15.82
1,1,0,13.46025,13.413119517543858,40.88,45.41,42.86986842105263,22.37811403508772,35.87328947368421,18.33
0,1,0,13.61975,13.500975454545454,42.27,45.36,43.89272727272727,22.259854545454544,33.40927272727272,18.38
1,1,0,13.64325,13.56609387755102,42.73,45.36,43.76632653061225,22.254244897959182,28.197510204081635,15.82
1,1,0,13.5785,13.482696721311475,41.21,43.54,42.61831967213114,16.70512295081967,27.427909836065574,14.01
0,1,0,13.80125,13.781852739726029,40.9,46.52,43.34770547945206,22.71938356164384,30.855650684931508,12.42
0,1,0,13.61975,13.46945664206642,41.68,46.25,43.99284132841328,22.20642066420664,31.334095940959408,25.3
1,1,0,13.07525,13.058146887159532,41.79,44.82,43.603501945525295,26.978482490272373,38.91428015564202,32.42
1,1,0,13.61975,13.457190217391304,41.68,46.25,44.024601449275366,22.188514492753622,31.958260869565216,25.3
1,1,0,13.46025,13.352342274678112,41.53,45.35,43.40557939914163,22.277167381974248,35.42922746781116,25.78
0,1,0,13.07525,13.05826231060606,41.79,44.82,43.583636363636366,26.981742424242427,38.07174242424242,32.42
1,1,0,13.64325,13.497385912698412,42.73,45.36,43.72420634920635,22.150119047619047,33.4413492063492,15.82
1,1,0,13.07525,13.057698132780082,41.79,44.73,43.58688796680498,26.970663900414937,39.02589211618257,32.42
0,1,0,13.61975,13.431571557971017,42.84,45.36,44.07782608695652,22.1531884057971,30.787789855072464,25.77
0,1,0,13.80125,13.781181896551724,41.84,45.88,43.53906896551724,22.718655172413797,35.07372413793103,27.06
0,1,0,13.57575,13.412000988142292,39.67,43.47,41.78782608695652,22.16407114624506,38.34193675889328,25.49
1,1,0,13.64125,13.465575098814227,40.79,45.88,42.69691699604743,22.15715415019763,38.294782608695655,25.32
1,1,0,13.57575,13.372438392857145,39.67,43.47,41.754285714285714,22.110714285714284,39.006928571428574,25.49
0,1,0,13.64125,13.47491836734694,40.79,45.88,42.66669387755102,22.16881632653061,38.03220408163265,25.32
1,1,0,13.61975,13.311996402877698,42.14,45.36,44.02687050359712,22.10082733812949,30.086654676258995,25.77
1,1,0,13.64125,13.429592007434945,41.59,45.36,43.52784386617101,22.053457249070632,36.35304832713754,15.82
0,1,0,13.46025,13.2453984375,41.53,45.35,43.121796875,22.1102734375,34.8315234375,25.78
0,1,0,13.07525,13.058533444816051,40.62,44.73,43.20451505016722,26.995652173913044,39.92722408026756,32.42
0,1,0,13.80125,13.780736842105265,40.9,46.52,43.079586466165416,22.711315789473684,33.460676691729326,12.42
0,1,0,13.07525,13.058131529850748,41.27,44.73,43.458358208955225,26.983507462686568,40.03914179104478,32.42
1,1,0,13.46025,13.26212111111111,41.53,45.35,42.977466666666665,22.127955555555555,35.75995555555556,25.78
1,1,0,13.80125,13.781512345679012,40.9,46.52,42.86395061728396,22.70259259259259,32.90065843621399,12.42
1,1,0,13.46025,13.20225093632959,41.53,45.35,42.98925093632959,22.04232209737828,34.64400749063671,25.65
1,1,0,13.5745,13.326825278810407,40.34,43.47,41.96200743494424,22.03494423791821,41.301375464684014,25.49
0,1,0,13.61975,13.24928472222222,41.68,46.25,43.939166666666665,21.99760416666667,29.11503472222222,25.3
0,1,0,13.61975,13.237050664451829,41.27,45.36,43.6093023255814,21.97890365448505,30.66893687707641,25.46
0,1,0,13.6345,13.35364114391144,40.79,44.39,42.73815498154981,21.988154981549812,37.83350553505535,25.32
1,1,0,13.80125,13.78152003816794,41.84,45.88,43.08946564885496,22.70965648854962,35.54076335877863,27.06
1,1,0,13.61975,13.226002737226278,41.27,45.36,43.644744525547445,21.965620437956204,31.686970802919703,25.46
1,1,0,13.5745,13.300873,41.21,43.54,42.28664,16.30976,28.56784,19.16
1,1,0,13.07525,13.059,40.62,44.73,43.25410071942446,26.985827338129496,42.552014388489205,32.42
0,1,0,13.80125,13.78159982638889,40.9,44.62,42.87770833333334,22.718784722222225,35.479756944444446,12.42
0,1,0,13.6345,13.317096223021585,40.79,45.34,42.93697841726618,21.931007194244604,37.53179856115108,25.32
0,1,0,13.5745,13.234216171617163,41.21,43.98,42.42884488448845,16.188217821782178,27.19346534653465,18.87
1,1,0,13.07525,13.058950803212852,40.62,44.73,43.31931726907631,26.97457831325301,42.17449799196788,32.42
0,1,0,13.61975,13.191576086956522,41.68,46.25,43.94076086956522,21.91086956521739,31.42728260869565,25.3
1,1,0,13.80125,13.780729674796747,41.64,44.36,42.98943089430894,22.70219512195122,35.67280487804878,26.88
1,1,0,13.61975,13.179970323741008,41.27,45.36,43.48363309352519,21.89302158273381,32.15097122302158,25.46
0,1,0,13.5745,13.219035587188612,40.34,43.47,41.72259786476868,21.86686832740213,37.61612099644128,25.46
0,1,0,13.80125,13.781272058823529,40.9,44.09,42.78176470588235,22.71466911764706,34.707830882352944,12.42
1,1,0,13.46025,13.098354,41.53,43.52,42.72128,21.859,31.776,25.47
1,1,0,13.80125,13.78155632411067,41.38,44.36,42.87059288537549,22.704584980237158,34.16901185770751,26.88
1,1,0,13.5745,13.21109765625,40.34,43.47,41.818046875,21.845390625,36.40671875,25.46
0,0,1,13.46025,13.043762175324677,40.94,45.41,43.111396103896105,21.86814935064935,36.18340909090909,25.25
0,1,0,13.46025,13.06865805785124,41.53,43.52,42.695537190082646,21.90326446280992,33.09793388429752,25.47
0,1,0,13.6165,13.108926199261994,41.27,45.36,43.3040221402214,21.868560885608854,33.96992619926199,25.46
1,1,0,13.80125,13.78165406976744,41.38,44.36,42.75651162790698,22.796666666666667,35.41670542635659,26.88
